gene,direct_disease_assoc,two_step_assoc_to_disease,two_step_pub_count,disease_symptoms_gene_is_associated_with,symptoms_associated_count,disease_symptom_gene_pub_count,causes_symptom_count,gene_connections_count,relevance_score
CXCL8,4,1551,7895,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis']",7,0,0,2981,611.9394986571572
ICAM1,1,836,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis']",10,4,1,1837,592.6238675994728
FOS,0,1900,13418,"['failure to thrive', 'dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",8,7,1,6908,548.8821613962469
IL5,2,685,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",10,5,0,1494,547.1861206229646
HFE,3,335,0,"['exocrine pancreatic insufficiency', 'meconium ileus', 'hypercalciuria', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent pneumonia', 'chronic lung disease', 'recurrent bronchopulmonary infections', 'bronchiectasis', 'biliary cirrhosis']",15,80,0,907,545.3831735153675
TSLP,1,413,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",12,16,1,810,535.7601084694161
SPINK5,2,627,0,"['asthma', 'failure to thrive', 'dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",10,19,0,1439,511.6761077027973
STAT3,1,1354,7891,"['failure to thrive', 'dehydration', 'recurrent pneumonia', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",10,9,1,6529,506.66919922087015
CD14,1,899,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",9,16,1,2371,504.44710181768795
ESR1,2,1502,16534,"['asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility']",8,8,0,5309,501.32519507293676
CAMP,7,2339,28060,"['male infertility', 'male infertility', 'asthma', 'asthma', 'asthma', 'asthma', 'dehydration']",7,22,1,10391,496.47694241032616
IFNA1,2,1712,11646,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",8,31,1,7483,480.7620326446414
MTHFR,1,304,0,"['exocrine pancreatic insufficiency', 'meconium ileus', 'hypercalciuria', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent pneumonia', 'chronic lung disease', 'recurrent bronchopulmonary infections', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility']",18,6,0,1315,467.58495781586623
CD79A,2,672,0,"['failure to thrive', 'dehydration', 'bronchiectasis', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",11,26,1,2421,464.51830499935227
GSTM1,1,448,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'biliary cirrhosis']",12,23,0,1292,458.7084304311474
NOS3,1,885,0,"['asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'biliary cirrhosis']",7,4,1,1684,458.493495732986
FAS,4,1868,10983,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'male infertility', 'male infertility']",6,10,1,5676,456.12357226775134
NR3C1,1,966,0,"['male infertility', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",7,9,1,2089,448.8729868830147
CRP,2,1324,3808,"['asthma', 'asthma', 'asthma', 'bronchiectasis', 'exocrine pancreatic insufficiency']",5,0,0,2132,436.61326647880367
ADA,1,771,0,"['failure to thrive', 'failure to thrive', 'asthma', 'asthma', 'recurrent pneumonia', 'asthma', 'asthma', 'asthma']",8,90,0,1848,436.0249009927234
ACE,1,941,0,"['asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'male infertility', 'male infertility', 'bronchiectasis']",8,4,0,2770,433.6625049863626
TIMP1,2,1182,7016,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,9,1,2557,428.2652915577797
MUC7,2,1340,11473,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'dehydration']",6,6,0,3347,423.13948904412956
TP53,1,2267,25641,"['male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'asthma']",7,6,1,13973,404.68686292522654
CTLA4,1,1089,1786,"['bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma']",7,3,0,3292,402.2416837104482
IFNG,1,990,0,"['asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",5,0,0,1404,400.32038451271785
SOD1,0,1628,12316,"['asthma', 'asthma', 'asthma', 'asthma']",4,5,0,2388,399.7776266298164
DCTN4,5,218,0,"['meconium ileus', 'hypercalciuria', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'exocrine pancreatic insufficiency', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent pneumonia', 'chronic lung disease', 'recurrent bronchopulmonary infections', 'bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",17,4,0,1170,399.58763359628244
EGFR,2,2024,14196,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",6,9,0,8857,390.93996903368
TLR2,1,774,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,0,0,1328,387.24830924362755
VIP,3,647,0,"['dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility']",7,6,1,1360,386.054865995526
FEV,2,439,0,"['asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'cor pulmonale', 'exocrine pancreatic insufficiency']",6,0,0,463,383.967702475451
NFKB1,1,655,0,"['bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'asthma', 'asthma', 'asthma']",7,2,0,1336,382.0654012186699
BCL2,0,1172,7436,"['biliary cirrhosis', 'male infertility', 'male infertility', 'male infertility', 'asthma', 'asthma', 'asthma']",7,3,0,4243,377.842138456277
SERPINA1,3,463,0,"['exocrine pancreatic insufficiency', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'asthma', 'asthma', 'asthma']",8,1,0,983,377.3821914359783
IGHE,1,862,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'chronic lung disease']",8,461,1,3111,375.5714403177977
STX1A,2,175,0,"['meconium ileus', 'hypercalciuria', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'exocrine pancreatic insufficiency', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent pneumonia', 'chronic lung disease', 'recurrent bronchopulmonary infections', 'bronchiectasis', 'biliary cirrhosis']",15,0,0,546,375.5353321783261
ADRB2,1,403,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",11,17,0,1330,373.71297035362085
CSF2,1,733,0,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,1,0,1288,372.6519407491384
CYP1A1,2,830,0,"['male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'asthma']",7,6,0,2304,371.875
ABCB4,1,355,0,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",8,7,1,570,367.7537314801086
